Comment,Label
Yeayy selamat cibul 😍,Positif
"Ketika kaki tak mampu melangkah 🏃 karena bahaya Corona
Tenang, masih ada gojek yang bantu pesan antar makanan Anda 👌
Ketika mulut tak mau berhenti mengunyah 😋 karena bosan di rumah aja
Tenang, ada cibul dengan berbagai nasi bakar yang enak dan bikin kenyang 👌
Ketika hatimu galau memilih tempat makan yang bersih aman dan nyaman cibuk kitchen lah jawabannya 🙏
Di hari yang indah ini
izinkanlah cibul kitchen mengucapkan terima kasih kepada gojek atas apresiasinya memberikan penghargaan sebagai merchant hygine heroes kepada cibul semoga kita bisa melewati badai Corona dengan selalu menjaga kebersihan dan menerapkan protokol kesehatan 👌
Aman bersama gojek Nyaman bersama cibul ❤",Positif
@cibulkitchen waww! Terimakasih nanti di infokan kemana yaa?,Positif
Aku padamu cibul sayang. Semoga bisa membuka cabang di Jakarta😂😂,Positif
@ecipasaribu aminnn aminnn kalo kawa ke amerika😁 suskses terus buat bu eci sekeluarga🤣😘,Positif
@rahmah.amd nggih bener dm kita ya ka buat detail almaat kk,Positif
@cibulkitchen thanks hadiah hiburannya min 😂 tapi saya skrg domisili Balangan nanti keburu basi nasi bakarnya kl dikirim 😂 belum rezeki hehe 😆,Positif
@there.esya okkakkita keep kalo ke bjb yaaa dm aja cibul sampai kapanpun ditunggu😉🙏,Positif
Sukses terus yaa..,Positif
@afreezepremium thank youu😍,Positif
nanti ka,Netral
"@dyah_hardiani yuks diorder diorder,hahaha thank you di",Positif
@cibulkitchen sudaah teen ... Gercep ibuk. Otw amang grab naah hahaa,Positif
Sukses trs cibulll laris manesssss,Positif
Wah akhirnya kd usah jauh2 lagi ke bjb😄 @reza_cyna,Positif
suksessssss teeeennnn 🤤🤤🤤🤤,Positif
Akhirnyaaa dia buka cabang d bjm 😍😍 @cibulkitchen,Positif
@shara_ghanitry_putri aminnn mami put😍😍😍 sama2 ya semoga semua rencananya lancar,Positif
@indahilestari aminnn innnn makasih byk yaaa,Positif
@arin_zahra yuks kakaaaaa😍😍😍😍,Positif
Akhirnya ada d bjm 😍😍😍,Positif
@maulidaauswaa 😍😍 ditunggu ka kehadirannyaaaa😘,Positif
"Wah, mantappp! 🥰",Positif
Akhirnya,Netral
ini dimana lah,Netral
Fix kesini j kita mingdep km harus cobaaaa wk @syamsiardi,Positif
@silvialaurent_ ayo cous siniii😘,Positif
dinaaaa,Netral
@emma.r.nn sudha opening santuy mulai hari ni,Netral
@khairunnsaa hahaha skrg aja ka..makasih ya antusiasme nyaaa😍,Positif
Nyed @fadiadr unde harus membawa nyewe kesini 😂,Positif
"Sukses buka cabang nya ten..mudahan lebih berkembang lah,jaga cita rasanya..kena buka cabang di ktb,aku jd owner nya..😀😀😀",Positif
@khairunnsaa yaksss,Netral
"@cibulkitchen siappp, kena ksanaan 😘",Positif
"@ferialtabur hayuk laaahh,,",Positif
@fadiadr horeeee ditungguuu,Positif
@lalamona.lm 😘,Netral
@martawahyuni makasih mama wilda dan ading wilda aminnn aminnn kena bearti nukar francise kena ta lah😘😘😘🤣,Positif
Ka ada d bjm dah wkk @aisyahfussarin,Positif
"Sukses trus buat @cibulkitchen pokonya paling the best semua menu,, apalagi nasbak cumi hitam 😍😍😍😍😍😍 i like it 😘😘😘",Positif
@nieta_bii thank you kaaa🙏🙏😍 untuk supportnya,Positif
udaah bestseller ini mah🥰,Positif
Imak dah artis nya @alamshahard,Netral
@a.rahmaan1 🤣,Netral
@aswandiraaa hahaha thank you ya kaaaa😍,Positif
Mantebbb cibul👍👍👍,Positif
@shara_ghanitry_putri thank you mamah muda 😘😘😘😘,Positif
"semangat ten usaha ny, mudahan tambah sukses lh,, kpn ku kw mkn dsana😢",Positif
@martawahyuni thank yo taa lakasi ditunggu pebila kawa ke banjar❤️❤️ sehat dan sukses jua sekeluarga taa,Positif
Kereeeeennnnnnn...nanti kami main kesana!,Positif
@kawan_nasi ditungguuuuu,Positif
salang nunggu weekday,Negatif
@meylinvalentine hell yeah semoga ya ka bisa membantu keberadaan cibuo bjm😁😁🙏😘,Positif
udah ga sabar lg nungguiin 😍 @muqlisin6690,Positif
@conybrown07 thank you kaka ditunggu sabtu yaa❤️❤️❤️,Positif
@cibulkitchen 👌😊,Netral
"Waaa ga bilang2 🥺🥺 ga jauh2 lg mau nasi bakar paling enakkk , gara2 makan ini, nasi bakar dimana2 jd biasa ajahh",Positif
@olyviaanggraini astaga  langganannku yg kalo beli pasti sekantorann nih sdh bukaaa yuks ditunggu thank you ya testinyaaa😘😘😘,Positif
Aku suka banget sama nasi bakar @cibulkitchen karena nasi bakarnya itu rasanya khas dan sambel nya itu loh bikin lidah bergoyang keenakan btw aku langganan terus beli disini entah beli langsung atau ngegojek karena rasanya itu ngangenin 💞💞 @nursitawatii @nuraidahh @naimah_m90 @_ariyani_novita @nisaminisa96,Positif
Aku ketuju nasi bakar @cibulkitchen karna sambelnya enak pedas nagihh lauknya enakk  @cndyauliaaaa @marida_17 @masita__nf @dheaa.fnn @sitirahmhh_,Positif
"Dari zaman bandara lama smpe bandara baru aq udh ketagihan nasi bakar @cibulkitchen apalagi yg nasi bakar kerang, pedes nya mantap, level 0 aja berasa pedesnya, suka gofood utk makan siang, dan kalo pesen pun gak mungkin beli satu, aq pasti ngajakin temen2 buat beli juga, selain utk menghemat ongkir, mereka memang suka juga. @mikhailadian @ayu.rmi @merrydnd @bungacadell @faridah_bilfaqih",Positif
@dythahasni @devin___k_j_d @megabebeng @irfanillah_ @adhenisaaaaa,Netral
Nyaman bnr @cibulkitchen iwaknya full . Rasai sanak @putridmyntii21 @ekmyng @elstagram06  @alammsyaahh__  @desywegsari,Positif
"@dythahasni @devin___k_j_d @megabebeng @irfanillah_ @adhenisaaaaa Suka bgd sm nasi bakarnya cibul, bumbux pas, rasanya ngangenin, pilihan lauknya jg beragam, harga terjangkau, cocok buat makan bareng"" sm temen n keluarga.",Positif
@chachaichal1 jadi kangen masa masa itu mb mba yaa...😍makan cibul bareng.  pedesnya mantap👍,Positif
"Pertama pesan cibul pas masih kerja d klinik brimob, yg anter langsung ownernya (kalo cibul inget) 🙈 terus pesan kedua keliling2 nyari rumahnya cibul mau ambil orderan sampai nyasar dan sampai sekarang kalo mau nasi bakar ingatnya ya cibul. Karena apa? Karena paling enak 😋😋 @ayazzz_ @charariet @snh_317 @chelilapatra @annashiddiqia",Positif
Nasi bakar.cibulkitchen rasanya mantulll beda dari yang lainn... yak kloo kuy. @nikenlrsatii  @citragalaag @fitri_amalia.r @galerynaufalyn @alvianmaulinatrist,Positif
ini #viviapproved yg udh ak coba nastar sm semprit keju cobain gaes @leowiry @ribkarinaa @daraayu_sr @mutiaifansyah @ridhahafiza @kunt3t,Positif
@hariranadia inget habis tu kok nganternya ke badan apa ya kmaren taunya mbaknya pindah kerjaan🤣,Positif
"Soal rasa memang yg pertama tidak terkalahkan, walau bermunculan yg lain, lidahku tetap cinta nasi bakar cibul semua varian aku suka huhu, please kirim ke Kandangan 😢",Positif
@chachaichal1 wahhhh makasih byk mbaaa 😭😭,Positif
@pipiparty tag temen2nya 5 manaaaaas🤣,Positif
"Kalo kalian suka sama aroma2 nikmat mengundang selera, rasa yg d jamin bakal bikin nagih, porsi lauk yg ngga nanggung2...kalian musti beli nasi bakar @cibulkitchen ... Aq aja udh langganan banget banget...aseli nagih setiap saat...soal sambel jgn d tanya lagi, haduh ngetik ini aja sambil nelen ludah loch 🤤 haduuuh tahaaaan,,,lagi puasaaaaa....intinya pasti enak dan nagih...yuk ikutan juga @ekaarahmaah @ummusyaffazainab @risafauziah8 @_ermsr @watirara",Positif
@ummu_maidi tahannnn ka🤣,Netral
"@cibulkitchen ga ush, giveaway nya buat peserta lain aja",Negatif
"@cibulkitchen kan ngiler😊...padahal baru hari senin kemaren beli yg cumi tinta hitam...haaannn, keganangan pulang...",Positif
@pipiparty yah padahal kalo menang saya bisa ikut makan🤣🤣🤣🤣,Positif
@sitinaimahh bisa nukar ne esok inya 🤣,Positif
@ummu_maidi wkwkkw hanyar jam 3 sore,Netral
"Suka bangettt sama nasbak kerang pedasnyaa. Nasinya gurih, pedasnya bisa request, lauknya nggak pelit, porsinya dijaminnn bikin kenyangg. Rasa yg lainn juga endesss bgt. Usus mercon, ayam suwir sama baby cumiinyaa juga juaraaa. Yg diyan cumii item jugaa dijaminn ketagihan. Aku ajaa ntah sdh brpa kali order nasbaknya. Kalo kalian k bjb cobainn yakkk. @egidyaanggrainy @admerindu @diniikaadha @zizah_s.a @ahmadramadhani_",Positif
@cibulkitchen iya am...goda'annya berat 😂,Positif
"5hari titir pas kada kawa puasa ,makan siang nya nasbak cumi kerang , kada bedulakan pasti lingis pasti habissss kd besisaa ..pokonya nyaman banar ,kada lebay kada moduss,,🤪 cobai ha sekali ,pasti tebulik lagi ,worth it jar urg tu😋  @adhe13hidayat @elitarhmh @ami_andud @ernie_viera_lov",Positif
@duduthdubab laaappppaaarrrrr,Positif
"Nasi bakar cibul kitchen rasanya endul pisan pokoknya tidak ada yang nandingin dek di Banjarbaru eits di se Kalimantan Selatan kayaknya ya, soalnya udah keliling dari Banjarmasin, Banjarbaru, Martapura jatuh hatinya tetep balik lagi ke cibul kitchen. Cerita dikit ya saya udah langganan dari kurang lebih 3tahunan kurang lebih 2017lah dari harga 10ribu perbox sampai sekarang, malah sekarang ada banyak variannya guys mulai dari nasi bakar babycumi, nasi bakar kerang, nasi bakar usus mercon, nasi bakar tuna, nasi bakar cumi hitam, nasi bakar udang ranjau, nasi bakar teri medan, nasi bakar ayam rica-rica, nasi bakar ayam telur asin, nasi bakar ati pete, nasi bakar telur ikan tenggiri eits hampir semua menu nih udah sy sebutin satu2, untuk harganya gak jadi masalah untuk sekarang yang penting kualitasnya guys enak tenan endul surendul pokoknya hihihi.... Waduh kalau tingkat kepedasannya gak tipu2 bener2 pedes nampol buat bikin nagih porsi lauknya ugh gak nanggung2 meluber kemana2 saking banyaknya sumpah deh bikin ketagihan apalagi kalau dimakan pas buka puasa ugh bikin ngiler deh ""inget buka puasa masih lama😮"". Kalau makan setiap hari gak bikin bosen guys lauknya variatif porsinya bikin kenyang eits kalau sy sih bisa nambah sih #lupakandiet pokoknya dijamin deh guys kalau udah beli di @cibulkitchen inget di cibul kitchen banjarbaru ya dijamin bakal ketagihan, saya aja sampai hafal varian lauknya guys saking langganannnya hehe. Pada tanya yang paling enak apa? Semuanya enak guys sya beli hampir semua varian udah sya cobain. Pokoknya kalau udah bosen masakan rumah pasti langsung gercep by gofood atau gak grabfood langsung pilih2 menu di cibulkitchen jadi gak usah khawatir guys meskipun kita di rumah aja tapi masih bisa menikmati kelezatan nasi bakar cibuk kitchen. Kalau kalian ke Banjarbaru gak afdol kalau belum makan menu ter endez dez dez ini guys @weirna @asri.rachma @nadia.gladiest @robbie.alfis @triyastiti_21 sapa lagi ya oo iya Ibu saya yang bilang enak yg jauh2 dari Semarang kalau Banjarbaru pasti beli nasi bakar terendez @dwihayatiprasetyoningrum",Positif
Maaf ya owner @cibulkitchen udah nyampah buanyak nih ceritanya saking sy gak bisa moveon dari nasi bakar cibul hehe.. mudah2an kali ini rezeki saya dpt kuker buat lebaran. Kapan nih min ada giveaway nasi bakar lagi udah lama gak main tebak2an lagi 😍😍. Makasih banyak ya @cibulkitchen semoga makin sukses trus walaupun di masa pandemi covid 19 tetep laris manis 🙏🙏🙏,Positif
@dapuraim hahaha gapapaaaaa santai aja kak kitanya seneng lagi sudah ibarat dituliskan cerpen komennya panjang banget dan  dari hati jd terhuraaa..tebak²an hadiah nasbak kayaknya habis lebaran aja biar lgsg bisa dikirim hadiahnya gausah nunggu bedug🤣,Positif
"@cibulkitchen iya min ditunggu ya tebak2annya 😍😍, giveawaynya mudah2an menang nih #ngarepbanget  min....",Positif
"Awal mula kenal  @cibulkitchen  di gofood @gojekindonesia  iseng beli dong, dan trnyta enak bgt apalagi level yg pdess bgt ,,, udah bberapa kali order, mulai kerang, cumi dan yg paling enak adlh tuna kalo saya , yuk yuk order barangkali anda ingin mencoba, rekomend dri saya @ramadhan_saputra021  @binti_m.f  @febrieaprilia @daffa20a01  @kotamati010118  semoga @cibulkitchen  sukses trus, dan nambah varian² baru🧡😊",Positif
"Nasi bakar langganan dari tahun 2017.... dulu mba ny nih ada jua jual bakso ikan tenggiri... pernh jua mba nya nih lgsung turun beantar2, bla nya kurir sdin tu dah byk antaran jd bealah umpt meantr jua skira lkas smpai jar.. poko nya apa yg d jual di cibul kitchen ni slalu mengutamakan rasa yg liwar nyaman 🤣 yg pasti bumbu rempah2 nya kd main2... porsi nya jua banyak... dari thn 2017 pertama kali menukar smpai ini kd suah beubah rsanya.. makanya am kecintaan bnr lwn nasbak d cibul kitchen ❤️ kd suah ke lain2 lagi, suah nukar d lain... ttp jauh beda kd senyaman di @cibulkitchen pling nyaman tu png dah... smpe kk sppu d smarinda, tanjung d rekomen akn nukr nasbak d cibul bla nya k bjb.. dan semuanya bilang nyaman aplg pedas2 byk sambal wkwkw... kasian aja ah buhnnya yg jauh, kangen jr lwn nasbak cibul.. d smd wn d tanjung kdd yg senyaman d cibul.. coba cibul buka cabang d kota buhannya jar 🤣🤣🤣 mudahan cibul kitchen smakin sukses, usaha nya makin berkembang.. bisa buka cabang dmana2... aamiin.... @mr.hasmaida_juliani @khanzashop_id @umi_sisca @apristilydha @fridapril @ayie_bundaattaya",Positif
"suka bgt sama nasi bakar cibul kitchen nasinya pulennya pas...variannya macam2 ada yang udah aku cobain ayam rica,baby cumi,cumihitam,kerang,daging dan soal rasa tak diragukan lgi cocok buat smua dr yg g suka pedas ampe yg di doyan makan pedas...buruan order guys..dijamin ketagihan lagi😊😘@zuraida_nabil @diah_karuniya @may_missrra @rositaberlianda @j.ryan_madhumita",Positif
@khanzashop_id tunggu km k banjar aja nanti lah kita makan ke cibul 😁,Positif
Why cibul why??? Karna cibul adalah panutanku..aku love cibul aku loveee... Nastarnya buat akooohh @tenteg11 @just_mikoo @juwwiee @chafauzia @untungngaranku,Positif
@ummu_maidi sepertinya esok menukar pang 🤪😂,Positif
"Sudah pada pernah makan nasbak @cibulkitchen kaloo @ayucub @nukerizkia02 @evarevianti @rahmakusumawardani @wiranti_safitri ????? Nahhh kalo aku.... Suka sama cibul ini karena nasbak dia kaya bumbu&rempah... Trus ada level pedasnya... Klo gak tahan pedas bisa coba level 1 ato minta sambal dipisah aja... gegara mamaknya yg kalo malas masak ,kadang order nasbak ,,skrg anakq teracuni mknn cita rasa pedas. Dia jd doyan yg lauk kerang ,,sambal dipisah 😂 
Biar kata dia spesialis nasbak pedas tp tetap bisa dimakan anak2 koq😘😘😘 Porsinya juga banyak menurutku ...
&Worth it lah utk harga segitu 
dengan rasa yg memanjakan lidah ❤️
Menunya sekarang juga banyak loh.... Next time harus dicoba 😘
Hayooo...@ayucub @nukerizkia02 @evarevianti @rahmakusumawardani testi kalian gimana???
Ramaikan GA nya yuk... Sapa tau kan dapat kuker gratis😉😉",Positif
Okee gaysss  cibul gayss  nasi bakar  gayss 😍. @linda_afiara  @mariahamzahh  @ernypujilestari016  @dssyncy_  @winnasny,Positif
"@ahmadredani @andika_rahmatulla @lailiarianti99 @mitadesti16_ @haznamelia ( karna nasi bakar cibul menu nya banyak, rasa nya enak, harga nya terjangkau dan dekat banar sama rumah tinggal nyebrang aja😁)",Positif
"Pie ya jelasin knp suka nasbak @cibulkitchen yg jelas klu kalian sdh coba pasti nagih bgt ini nasi. Nasinya berasa kayak ada bumbunya, lauknya isinya banyak ,macam2 juga,enak dan bumbunya ndak pelit merasuk ke lauknya cumi hitam favorit bgt aq. Telur ikan tengirinya masyallah itu enak juga, kerangnya mantap dan yg suka makan dengan lauk yg banyak kayak aq 😁 nasbak ini akan hbs nasinya dulu dr pada lauknya. Dan yg terakhir yg bikin mantap jiwa sambalnya bro lain dr pada yg lain hau jek sen cing ping. Wis ndak usah akeh omong lah order gawe buber wae @normarusita @denik_wury @kurniawati3479 @beeloved_16 @monikeuc @ekofebrianto88 😁",Positif
@rahmadfatulloh__ wah maaf ya kak jd kurang nendang dong ga ada sambelnya🙏,Negatif
Nasi bakar cibull isnakkk banar endull tekandul kandul bumbunya berasa bnr apalagi sambal nya itu nah yg meulah jadi ketagihan handak lagi dan handak tarusss apalagi isi lauknya banyakk jd bisa ditambah nasi sendiri krna lauknya banyakkk 🤤🤤🤤😍 @ummu_maidi @sitinaimahh @askiayaa @novi_talita11 @nadiaokta04,Positif
Suka banget makan nasi bakar di cibul walopun jauh2 dari banjarmasin . Nasi bakar nya enak & cici nya yg jualan ngangenin banget ❤️ Moga setelah pandemi ini berakhir kita bisa bersua kembali sambil duduk makan santai nasi bakar di cibul 🙏 @chandraraymond @lindamarisaong @tenteg11 @rifandywo @rinmei_halim,Positif
Nasi bakal cibul nih wenak banar pedas nya nampol gak pernah bosen makan nasi bakar cibul kada pernah pelit lawan lauk melimpah banget juara pokok nya deh @sabila_widiasti @intaann.sari @stnvt25 @intuunnn___ @wati2674_,Positif
Kangeeen 💔,Positif
@kanaahh kanah dimanaaaaa,Netral
"Kapan2 makan ditempat aahh, kepengen dimsumnya 🤤🤤🤤🤤",Positif
Jd laperrrr :(,Positif
@shara_ghanitry_putri gas put,Positif
@banjarbarukuliner ditungguuuuu tiada kesan tanpa kehadiranmu🤣,Positif
@cibulkitchen di amuntai kaaaa,Netral
Pengen dimsum bjb dimananya,Positif
@yunitamaya_sari google nap nasi bakar cibul,Positif
Ten kdd pengiriman k bjm lg kah😂🤣,Negatif
sediakaan tennn..jan takuttt,Netral
@aesti.elin @dyah_hardiani nah lakasi handak pesan apa kurir kawa dirental jangann kuatir😘,Positif
Good job cibul so proud😍 semoga tambah banyak rezekinya buat cibul❤️😚,Positif
@shara_ghanitry_putri aminnn aminnn semoga dapat barakatnya seberataan sis😁😁,Positif
"Wah mantap acil,mudahan berkah cil laah 🙏",Positif
@inafir_izorhan aminnn mannnn semoga bebarakat seberataan😁,Positif
@safarinadian ka dian ni jamaah siluman banjarbaru bisa kotabaru bisa jua🤣,Positif
wkwkwk🤣🤣🤣,Netral
Uiii aq kd dbagi kh ,Negatif
Barakkallah .. mdhn berkah tambah laris yaa ci👏,Positif
@safarinadian hahaha  siap kakaaaaaa,Positif
@niahisna14 hehehe aminnn aminnn kaka semoga berataan aja dapat barakatnya 😁🙏🙏🙏,Positif
"masya Allah ten, mudahan berkah aja d setiap kebaikan dr apa yg d berikan.. aminn..",Positif
Laris manis terus cibuul... 😍😍,Positif
"@cibulkitchen whahaha kd tahu lg nah macet tu pang kolernya 🤭🤣,,amiiiin mdhn thn dpn ojol dpt 😋",Positif
@martawahyuni hehehe  aminnn ta mencari barakatnya jua olons niiiii😁,Positif
"@ayuemphe aminnn pheeeee makasih doanya, mudahan kita berataan dpt barakatnyaaaa😁🙏",Positif
Kangen nasi bakarnya cibul🤧,Positif
Mantap betul 🤤,Positif
"Waaah cibul akhirnya kemasan baru. Pertama kali mesan thn 2016, masih dgn sterofom n daun pisangnya. Dan masih diantar ama pemiliknya langsung 😁😁",Positif
Waaa makin sukses ni kk😍😍,Positif
Mantepppp mbaknya😍👍,Positif
@fitriramdhana betul ka 🤣,Positif
@norliapuspitasari awkwk 😂,Netral
@lini_huang4 😘😘😘😘😘,Netral
@marlinafridaa ayukk kakaaaa 2019 udah mau selesaiii cibul tungguuu❤❤❤,Positif
@marisaselvia 💃💃💃,Netral
@rwir4ndy meongggggg,Netral
@fitriramdhana hihihi apa kabar masssss semoga sukses selaluuuu langganan setia cibul dari jaman perintisan🙏🙏🙏🙏,Positif
@norliapuspitasari hahahaha,Netral
@naaadyx hahaha aminnn naaaaaddddd semoga bisa lebih baik kedepannya,Positif
@shara_ghanitry_putri ahhh yg barusan ultah semoga selalu sehat dan bahagia sekeluarga yaaa. Suer kada percaya umurnya seitu ihhh awet muda ❤❤❤❤,Positif
Uln di kalteng skrg mba ae jd kd kawa pesan lagi 😢,Negatif
@cibulkitchen amiiiin thank u sis❤️ wkwkkw aku kan baru 17th😝😝,Positif
tdi mesan nambah bayarnya 5000 usus campur ayam rica tpi kdd ayam ricanya 😢,Positif
@eggihutama wah mass dm no hpnya ya mohon maaf sebesar2nya,Positif
Dimsum nya udh ada di gojek ya,Positif
Bole bole,Positif
Mauuuu,Positif
Brpaan mba?,Netral
bilang aja endorse 😂🤣😅,Negatif
G deh 😅😅,Negatif
@meryindahsari_,Netral
@januarikasharsa okeee😅,Netral
"@rinikomsiyah di belakang kampung pelangi ka.jalan pandu, masuk komplek msria.ada di google map nasi bakar cibul😁🙏",Positif
@rinikomsiyah komplek maria😁,Netral
@cibulkitchen ok kn mncr,Netral
Wah udah gede aja mba... Ikut senang... Kangen bngat sama cibul😍,Positif
Yg motor merah plat zaa it motor ading ku ten @cibulkitchen ...salah satu pelanggan setia km...hehehe,Positif
Lamaaa ga makan nasbak cibul ,Negatif
"2 hari libur, banjir pengunjung 😁",Positif
Semangaaaat stennyyyyy......😆,Positif
Alamat nya dimana ini @cibulkitchen,Netral
@hulwey ahh terimakasih banyak yaa ayok yg kangen merapat😘,Positif
"@norlatifah_ma nah iya pah td bekisah jua ading km ikam d bjb jar sekaliny langganan obat abahku,hehe",Positif
@khalifa_wahid ayoooo sini kita kn beda gang aja😀,Netral
nah itu dia😀😀😀,Netral
@rositavarlina makasih ociiiii😘,Positif
@azcabutik di belakang kolam renang mbak jalan pandu umpati maps aja ya nasi bakar cibul,Positif
@cibulkitchen kdd nyetok d rmh jua ak ten ay...klo abh km hdk bs dipesankan d bjm kena...,Positif
Yess 😂😂,Netral
Kmna pulang ??,Netral
"Wawww, sukses terus ya kakaaa!",Positif
@sriw_sw yihuuu,Netral
@irmarillion ya kurang lebih 1km lah dri rumah yg ini,Netral
wkwkwk terimakasih adinggg😁🙏,Positif
Pindah kmn lg mb sten 😭,Netral
Buka cabang dtjg ka😭,Positif
Pindah kemana piaaannn,Netral
😅😅😅 ten jangan kd ingat lah colokan HP nya olah akan... Wkwkkw,Netral
Pindaaaah kemanaaa?,Netral
@cibulkitchen @lidamhg,Netral
yg di banjarbaru ja pucing pala belbi dah de😁😁🤣,Negatif
ada jua wdh bedudukannya,Positif
"komplek maria ka, kena google maps nya ada ja diupdate😁🙏",Netral
@anggiervianti ke parak pipiparty nggiiii,Netral
@unun_an ke deket pipiparty mbakk😁,Netral
@cibulkitchen mdhn kaka makin sukses jd kwa buka dtjg 🙏🤣 spya kd kganangan lg lwn nasbak pyn🤤,Positif
@cibulkitchen dmn itu 😅😅 nda tau pipiparty apaan?,Negatif
@cibulkitchen pindah rumah atau pindah warung aja?,Netral
@unun_an deket pabrik roti bintang bakery mbaaaak😁😁😁,Netral
@irmarillion rumah sama warunngggg jadi satu immm🤣🤣🤣,Netral
"Ga salah donk, wong peminatnya banyak😂(bantujawab)",Positif
@febrycyril wayooo beganal lubang hidung😅,Negatif
Nyaman kayapa 😉😍,Positif
Esok sore ulun handak nah nasbak cumi dan nasbak usis mix tuna pedas level 2,Positif
"@cibulkitchen lubang kantong za yg beganal, hidung jangan😂",Positif
@annisawira akayah kaka cantikkkk😁😁😁😁❤️,Netral
@noorwahdiyah siap bu ditunggu besok😁🙏,Positif
@febrycyril wkwkwk btw kawa kah minta fotokan nasi ala ala bokeh jua mbak😁😁😁,Positif
"@cibulkitchen biasaaaaa😂😂aduhh kangen banget, bulan puasa buka mulai jam berapa?",Positif
@cibulkitchen btw BB ku dah bisa makan normal lho sekali dua kali dah melampaui target😂kangen makan ini...sumpeh cumi hitam nya itu lho...maybe habis lebaran😊,Positif
Tetep jadi kecintaanku😂,Positif
Bukai ampe subuh ten 😅😅,Netral
@iprm_ maacih icha😘😘😘,Positif
koler mat🤣🤣,Negatif
@febrycyril inggihhh foto2nya mengecilll😍😍😍 hebatt👏👏👏 puasa buka dri jam 9 sampai malam ayooo pebila ditunggu yaaa,Positif
@cibulkitchen sepppp....😘,Netral
@cibulkitchen ttp inya d aplikasi,Netral
Inggih jd ai tp ulun ni ke klinik dulu,Netral
pengen kerang lagii masih ada kah wkwk,Positif
Aku mau 😭😭😭😭,Positif
Pengen.....,Positif
@riaagusnita ayuk cintah oldel,Positif
@indahwias yuks mbak😘,Positif
@cibulkitchen ada pengantaran kah siang ? Wkwkwk,Positif
@cibulkitchen adaaaa dungg😘😘😘,Positif
@cibulkitchen aku mau cumi sama usus beb mix boleh kah ? 1aja klo bisa nasinya dikit ja🤣 ak awak ganal makan dikit ko isinya angin aja ini lain lemak,Positif
"@riaagusnita wkwk bisa beb kena lah diantar kurir,,, lain isi gulali lah, manos bansr pang situ.. etttt dah😘😘😘🤣",Positif
@cibulkitchen kira2 jam brp cuyung biar aku tunggu dtoko wkwkkw,Positif
"@riaagusnita jam 1 lah beb hdng kurir trip ke dua, maaf td yg trip 1 sdh full😘😘",Positif
@cibulkitchen sudaaaah sampaaaaai tengkyuuuu 😘,Positif
Wahh ada yg gratisannnn serbuuuuu 😆😆,Positif
Nasi bakar kaka tu lain dr yang lain.. Bumbunya berasa.. Pedas nya nampol sampe merah muka lun saking nikmatnya.. Terus nasi nya jua banyak lauknya banyak gapelit.. Dan akhirnya malam2 kaya ini malah ngiler karna ingat sama nasbak kaka wkwkwk.. Sukses terus ya sayang ku yg unyu2,Positif
"Knp jd suka nasbak cibul? Kalo jawaban enak mah dah pasti tp nasbak cibul ini murce dan service exelent 👍 kok bisa ya nasbaknya enak bgt itu bikin kangen apalgi pas d mkn msh anget2 jd gagal diet jg liat porsi dah ky nasi padang 😋😄, smpe ga pernah makan sego kucing lg semenjak ada nasbak cibul 😳 apalagi rmh kite deketan 😂 sukses terus ya bul bul @cibulkitchen 😘😘😘",Positif
"Kenapa jadi sukaaa ? Karenaaa terlalu kagum sama perjuangannya diaaa 😀 awal2 kenal cibul yaa kira2 2 tahun lalu yah awal2 merintis usaha . Panas ujan diterjang demi kepuasan cust . Dari yg awalnya menu cuma ayam suir, cumi hitam sama tuna kemangi yah kalo gasalah, udah dirasain semuaaa . Terfav sampe sekarang teteup cumi hitamnya ! Cibul paling ngerti kalo diminta pedes segini , nasinya segini .  Alhamdulillah skrg udh lebih nglebarin sayap *halah ,udah ada kurir udah ada gojek . Tapiiii teteup rendah hati gak sombong dong sama langganan yg udah lama gak beli *eh . Mangats yaaah sukses terussss sarangeeee 😘😘",Positif
"@nabilasabrinaalkatiri makasih ading sayang, makasih banyakkkk 😘 maaf lah meolah ngilerrrr mlm2🙏🙏🙏🙏 semoga bisa memberi yg terbaiksss",Positif
"@raniedan iih nah bul bul🤣🤣🤣 lucunyaaaa murah dan servis excellent ya, semogaaaa bisa tambah excellent lg cintaaahhhh kalo bisa buka warung ditengah porgala, biar tmbh parak kita🤣🤣🤣🤣",Positif
"sdh brp kali order di @cibulkitchen mah emg kd pernh mngecewakan 😍 apalgi owner ny ramah saat bls chat cs nya, trkhir smlm mnukr lauk kerang nya.. di camil2 aja nyamsir apalgi makan pakai nasi, bikin gagal diet, wkwk.. nasbak the best yg pernh ku coba 👍 sukses yaa mba, smoga usaha nya makin lancar dn bisa buka cabang2 atau restoran, amin 🙏",Positif
"@mirsyaennuri hanyar hdk komen diatas, knp kd umpat mengharu biru kaka ni, sekalinya muncul dibawah laaah,,, uncccch kaka makasih banyak dh rancak menolongi ulun promosi dsb, smpi sekarang kk beusaha jua mudah2an rami, lancar rejekinya, makasih buanyaaak laaah kalo ada kurang2 mohon dimaapken😘😘😘😘",Positif
"Knp suka cibul?jawabnya simple,krn istri saya @lailyfit sangat menyukainya.udah gitu aja 😁",Positif
@inafir_izorhan *edisi takut istri* baik pak mas makasih sdh siap selalu meambilkan pesanan bini di wadah ulun😁😁😁😁🙏,Positif
